surname,name,year_birth,gender,legislature
Morelli,Patrizia,1960,F,"XIII, XIV, XV"
Mossa,Luciano,1972,M,XV
Mostacchi,Benito,1936,M,"IX, X"
Nasso,Manuela,1989,F,XV
Nebbia,Giuseppe,1939,M,VII
Nicco,Anselmo,1896,M,"I, II, III"
Nicco,Giulio,1894,M,"CLN, I, II, III"
Nicco,Roberto,1952,M,"IX, XI, XII"
Nogara,Alessandro,1958,M,"XIV, XV"
Norat,Pio Desiderato,1881,M,"I, II"
Norbiato,Carlo,1960,M,"XIII, XIV"
Nouchy,Renato,1913,M,"CLN, I"
Ottoz,Eddy,1944,M,"XI, XII"
Padovani,Andrea,1986,M,"XIV, XVI"
Page,Edoardo,1899,M,III
Page,Elia,1892,M,"I, II"
Page,Ernesto,1888,M,CLN
Palmas,Fortunio,1906,M,III
Pareyson,Enrico,1887,M,"CLN, II"
Parisi,Domenico,1938,M,X
Parisi,Giovambattista,1908,M,VI
Pascale,Liborio,1940,M,"VIII, IX"
Pasquali,Augusto,1901,M,"I, II"
Passerin D'Entrèves,Alessandro,1902,M,CLN
Pastoret,Ennio,1950,M,"XI, XII, XIII"
Péaquin,Marilena,1957,F,XIV
Péaquin,Sergio,1939,M,VII
Pedrini,Ennio,1921,M,"IV, V, VI, VII, VIII"
Peinetti,Flavio,1956,M,XV
Perrin,Carlo,1946,M,"X, XI, XII"
Perrin,Davide,1982,M,XIV
Perrin,Giuseppe Cesare,1937,M,"VIII, IX, X"
Perron,Ego,1967,M,"X, XI, XII, XIV"
Perron,Livio,1949,M,XIII
Perron,Maurizio,1920,M,I
Perron,Simone,1979,M,XVI
Perruchon,M. Celeste,1911,F,"II, III, IV, V, VI"
Perruchon,Oscar,1921,M,II
Personnettaz,Arlina,1906,F,"IV, V"
Petigat,Augusto,1917,M,"II, III"
Piccolo,Guglielmo,1943,M,"X, XI"
Planaz,Dino,1972,M,XVI
Pollicini,Angelo,1924,M,"V, VI, VII, VIII"
Praduroux,Renato,1949,M,"XI, XII, XIII"
Prola,Piero,1957,M,XIII
Pulz,Daria,1968,F,XV
Quaizier,Lorenzo,1900,M,V
Quendoz,Grato,1899,M,II
Quey,Cesare,1939,M,VI
Ramera,Sergio,1923,M,"V, VI, VII"
Restano,Claudio,1964,M,"XIV, XV, XVI"
Riccarand,Elio,1948,M,"VII, VIII, IX, X, XII"
Ricco,Raffaele,1926,M,"VII, VIII, IX"
Rigo,Gianni,1952,M,XIII
Rini,Emilio,1949,M,"X, XI, XII"
Rini,Emily,1982,F,"XIII, XIV, XV"
Rocchio,Sauro,1952,M,X
Rolando,Attilio,1928,M,"VII, VIII"
Rollandin,Augusto,1949,M,"VII, VIII, IX, X, XI, XIII, XIV, XV, XVI"
Rollandoz,Roberto,1938,M,V
Rosaire,Roberto,1965,M,XVI
Roscio,Fabrizio,1970,M,XIV
Rosset,Andrea,1948,M,"XIII, XIV"
Rusci,Pier Carlo,1950,M,IX
Russo,Maria Luisa,1973,F,XV
Salvadori,Bruno,1942,M,VII
Salzone,Francesco,1951,M,"XII, XIII"
Sammaritani,Paolo,1959,M,"XV, XVI"
Sandri,Giovanni,1951,M,"VIII, XII"
Sapegno,Carlo,1909,M,I
Sapinet,Davide,1976,M,XVI
Savioz,Fabiano,1912,M,"CLN, II, III, IV, V"
Siggia,Giovanna,1931,F,"IV, V, VI"
Sorbara,Marco,1967,M,XV
Soudaz,Giovanni Maturino,1896,M,III
Spelgatti,Nicoletta,1971,F,"XV, XVI"
Squarzino,Secondina,1938,F,"X, XI, XII"
Stacchetti,Elio,1942,M,XII
Stévenin,Francesco,1944,M,"VIII, IX, X"
Stevenin,Gian Carlo,1954,M,XVI
Strazza,Renato,1924,M,IV
Tamone,Leonardo,1940,M,"VI, VII, VIII"
Testolin,Renzo,1968,M,"XIV, XV, XVI"
Thiébat,Alfonso Giuseppe,1873,M,CLN
Thomasset,Ezechiele,1886,M,CLN
Thoux,Sovrano,1887,M,II
Tibaldi,Enrico,1962,M,"X, XI, XII, XIII"
Tonino, Alder,1947,M,"VII, VIII, IX"
Tonino,Aldo,1921,M,"V, VI"
Torrione ,Carlo,1888,M,CLN
Torrione ,Gianni,1933,M,VIII
Torrione ,Giuseppe,1923,M,IV
Trèves,Vincenzo,1922,M,III
Trione,Luisa Anna,1970,F,XV
Trione,Silvio,1941,M,IX
Tripodi,Pasquale,1929,M,"VI, VII"
Vacher,Candido,1912,M,"CLN, I"
Valleise,Augusto,1913,M,I
Vallet,Franco,1952,M,"IX, X, XI"
Vallino,Alfonso,1915,M,"III, IV"
Vauthier,Francesco,1907,M,III
Venturella,Ugo,1957,M,XII
Verthuy,Franca,1927,F,IV
Vesan,Luigi,1899,M,"CLN, II, III"
Vesan,Luigi,1965,M,XV
Vesan,Silvano,1938,M,IX
Viberti,Ilio,1953,M,"VII, VIII"
Vicquéry,Roberto,1954,M,"X, XI, XII"
Viérin,Adriana,1957,F,XII
Viérin,Dino,1948,M,"IX, X, XI"
Viérin,Laurent,1975,M,"XII, XIII, XIV, XV"
Viérin,Marco,1958,M,"X, XI, XII, XIII, XIV"
Viglino,Maria Ida,1915,F,"CLN, I, VI, VII"
Villettaz,Alessandro,1913,M,CLN
Voyat,Ugo,1946,M,"VII, VIII, IX, X"
Vuillermoz,Alberto,1922,M,III
Vuillermoz,Zeffirino,1918,M,I
Zublena,Manuela,1961,F,XIII
Zucchi,Alberto,1960,M,XIII
